Character,Line
Farnsworth, Uh-huh. May I come in?
Bender, Nothing. I guess I'm just going to have to get used to being half a robot.
Bender," Uh, nothing!"
Leela, Well you were sure right about Flexo being evil.
Hermes, Say what?!
Bender, I do love inconveniencing the underclass.
Amy, That's different.
Fry," Call me a ""booger blaster""! I'll blast a booger so hard that--"
Farnsworth, Defend the fire!
Leela, No! Put that back and turn it on!
Farnsworth, It's so you can't keep your ball at the end of the game.
Bender, I'll tell you ... with my final breath.  I came here with a simple dream  A dream of killing all humans. And this is how it must end? Who's the real 7-billion-ton robot monster here? Not I. Not I.
Zoidberg, Let me just peel your head a little and see if I can get that skull out.
Bender," Aren't you the Donbot, head of the Robot Mafia?"
Farnsworth, That a girl!
Farnsworth," It's very simple. The ad gets into your brain just like this liquid gets into this egg. Although, in reality, it's not liquid, but gamma radiation."
Bender," Listen to me, Leela  I'm an expert at not caring. The secret is to stop giving a rat's ass about anyone else and start thinking of the things that you want, that you deserve, that the world owes you."
Leela, What is it? Is it about Bender?
Fry, You mean he's--
Hermes, Alright then.
Hermes, Item one... Duck!
Leela, All systems operational. Let's rock!
Leela," Well, at least you saved us from, uh, you. Thank God you finally overcame your incompatibility with Robot 1-X."
Fry," Ah, Bender must be done with the delivery."
Bender," Well, looks like that wraps everything up in a nice big, old, fat sack of..."
Leela," I'm sorry, kids. I'm not a natural storyteller. But I promise  I'll make up a better story and come back again."
Leela, Protestors?
Bender," Look, it's that crate we were gonna throw in the sewer."
Fry," Well, anyway, just remember that people care about you."
Amy, I don't know what to do. Do you think I should eat more butter?
Fry, No! It's not like that. Everyone gets his own room and a shelf in the refrigerator.
Fry, Sure. There's just one thing I want you to do.
Bender, Shut your fat mouth!
Amy," Professor, it worked! You look young enough to be my father!"
Bender, Yeah!
Bender, You do? Really?
Farnsworth, Look at him. I'm so proud.
Farnsworth," And so, as you and Leela kissed goodbye in a tender display of toungesmanship, we plunged into a massive wormhole. Never to be seen again."
Bender," Boy, who knew a cooler could also make a handy wang coffin? Hey, uh, mind if I stick these in here?"
Hermes," It's been a terrible year, people. The company is on the verge of bankruptcy."
Farnsworth," A common— A common cold?! No! No! Ever since Fry first came to us, I've lived in mortal terror that this would happen!"
Fry, These toys soldiers are poorly painted.
Farnsworth, Have you ever dissected a Yeti before?
Bender," Don't ask where I was last night. For all you know, I was at home, perhaps baking a strudel. What's her problem? Somebody die or something?"
Farnsworth, Powering up Clone-O-Mat. Placing fossil on the Plat-Clone-O-Form. Initiating dog brain CAT scan.
Leela, Then we have no choice. We'll have to mercy-kill the Professor ourselves.
Bender, Is too!
Leela, Get him!
Amy, Let's get liquored up!
Fry," Sorry, I overslept."
Fry, Wow! Mining a comet! That sounds fun.
Fry, This is wrong. We shouldn't have abandoned them there.
Fry, But--
Fry," Aw, relax, buddy. You were probably just shooting some big, fuzzy craps."
Fry, Don't do it!
Amy, I thought it was an auction.
Farnsworth," Hmm, I believe I can fashion a slingshot using this robot wishbone and this elastic from my pants."
Farnsworth," Welcome, everyone. What a pleasure to see so many miserable faces."
Leela, But—
Bender," I'm sorry, buddy. At least we'll die on our backs, helpless. Huh? What the hell are you doing? Hey, you trying to make me look bad? Aha! I'm even greater than I thought I was! And now to fulfill my destiny."
Zoidberg, Oy. I lost another one.
Bender," Bite my shiny metal ass! Ooh, yeah! C'mon, baby! Come on! Yeah!"
Leela, There's so much information and yet somehow I feel as if I know it all already.
Zoidberg," Hear my words. My shell may be tough like a samurai honeymoon mask, but inside I'm as soft and sensitive as a girl made of custard!"
Fry," Well, thanks to the Internet, I'm bored with sex. Is there a place on the web that panders to my lust for violence?"
Bender," It was awful. I tried helping them, I tried not helping them but in the end I couldn't do them any good. Do you think what I did was wrong?"
Bender," Nonsense. It's exactly like me. Flexo  The fun-loving love machine Fembots love to love. Hey, barkeep, I'll have a Fuzzy Navel and she'll have the girliest drink in the house."
Zoidberg," Sure, humans are cute, but how else are we supposed to test cosmetics?"
Leela," I'll get my coat. Let's go, Bender."
Bender, That's it. I'm killin' myself!
Bender," And then Calculon said, ""No!"""
Leela, It's just that I get tired of Fry always only thinking of himself.
Bender," Thank you, and goodnight."
Farnsworth, Don't do what? Don't use this memory ray so I can remember what happened back then?
Hermes," Might I have one too, wife?"
Leela," And, Bender, that aerosol head spray makes your antenna smell nice--"
Hermes, That's a very good question.
Bender, Yep.
Leela," OK, Fry, here's the package to deliver. And for once in your life be careful. This is my first visit to the Galaxy of Terror and I'd like it to be a pleasant one."
Leela, You're just jealous!
Bender, Wow! Ow!
Fry, Erth.
Leela," Bender? My God, you're a mess!"
Bender," Truly, they were as gods who built this place!"
Leela," You're making fun of our ship? Your ship is the most beat-up thing I've ever seen, and I've seen Mickey Rourke's head."
Bender, Oops.
Fry, I'm real sorry I missed the mission. I wasn't there and you might have needed me.
Farnsworth," Is he badly hurt, Dr. Zoidberg?"
Leela," Thank you, Jrrr. I hope you'll always think of me as your mom."
Fry, Wow. You guys worship an unexploded nuclear bomb?
Bender, Eight bucks.
Fry," It's okay, Amy. I don't have a fancy degree either, but today I'm a prominent boy in the package delivery field."
Bender," Wait, wait, wait, wait. What is it you like best about me?"
Bender," This is a stick-up. Gimme the bag, old man!"
Bender, I'm not sitting through one more PTA meeting. The kids have got to go!
Bender," Oh, it was nothing."
Leela," We will not let you implode the violet dwarf star at galactic coordinates 167.84, -58.03, mark 948."
Fry, Leela! He could live another 100 years!
Leela, Blernsday Night Blernsball!
Fry, My tummy hurts!
Leela, Look! The asteroid. Now it's crawling with life. Like Zoidberg's sandals!
Bender," Heck! Those guys hate fire! I gotta do something. What the--? Termites? Well, I don't need legs to save my friends. I'll just use the old extentromatic arms!"
Fry, I almost feel like we should do something to help her.
Leela, They are my parents.
Bender, Where'd I go just now?
Amy, Do you eat these dummy tin-wrapped chocolate coins?
Leela, I've lost control of the ship!
Bender," Nah, you can't blow the smoke from such a majestic stogie in just anyone's face. I'm saving it for the fancy-pantses at Zapp Brannigan's black tie reception. You comin'?"
Bender, Well I'm glad we got all that out in the open. We'll just let ourselves out.
Fry," Ooh, this is real futuristic!"
Fry, But I thought the Mom Store was across town.
Hermes," I did it! I saved Earth and won back my woman. Right, woman?"
Fry, I look like an idiot who can handle those feministas.
Amy, I just wish a decent guy would call me instead of this spleeze-ball who has me too terrified to even answer the phone. Hello?
Bender, I told you it's an audition!
Bender, Lies! Lies and slander!
Fry," Whoa, whoa, wait a second. You mean Bender is the evil Bender? I am shocked. Shocked! Well not that shocked."
Hermes," Sweet kookaburra of Edinburgh, Professor. You sure you know how to fly this thing?"
Bender," So, Bender, is something wrong? Who said that? Oh, it was me! 'Cause my roommate doesn't notice or even care that I'm upset!"
Leela, You're a lucky man. But are they way more expensive than regular eggs?
Bender," Aye aye, Captain. It appears that Flexo has outwitted us all. Especially me ... Bender."
Leela, Step aside turkey-neck. I think I know the code.
Amy, Later.
Fry," Ooh! A Bot Mitzvah. Shalom, hunger! Shalom, free food!"
Fry, So you're saying these aren't the decaying ruins of New York in the year 4000?
Fry," Now say ""nuclear wessels""!"
Bender," Yep, everything worked out great thanks to good old Bender."
Leela, I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
Fry," Of course. The gorilla was the 18th hole, so we're headed into the ball return."
Leela, I kind of hoped this whole experience would have left you a little more open to your sensitive side.
Bender, Someone fat get in my way! I'm broken again. I can't move any part of me.
Farnsworth, Not what we're looking for. Throw it in the soup!
Leela, Prepare to storm the surface for the Million Mutant March.
Amy, Well globviously! But if they liked you then I wouldn't. Don't you know anything about girls?
Bender," Wait, I'm not in position."
Leela," Uh, no."
Fry," Well, that won't work, remember? We only have three women on staff—"
Leela, No!
Farnsworth, Wha?! You're not my breakfast friends! What are you doing here?!
Fry," Don't you worry about Planet Express. Let me worry about ""blank""."
Fry," Seriously, I can't think of anything. Gotta find something to make me think. Hardy Boys, too easy. Nancy Drew, too hard. Aha! Perfect! Bonfire of the Vanities!"
Zoidberg," Bah, big shots. I say let the dice do the talking."
Zoidberg," Money doesn't make good people, no, siree!"
Fry, Bender rules!
Amy," OK, thanks."
Bender, We are not amused.
Bender, I know. But I just missed Nibbler so much.
Fry, This was the storage room. My dad spent years turning it into a bomb shelter.
Farnsworth, Evolution is under attack in our schools? To the science mobile.
Leela, Uh-huh. Now tell us she's witty and sophisticated.
Leela, Be it parsnips or peppers or kale or zucchini.
Leela," Fry, no! He's bulging with what could be muscles. Ooh!"
Fry, What makes it so great?
Bender, The key is knowing precisely where to strike. Oops!
Fry, Turn it over.
Fry," Leela, we're missing the premiere. My only goal in life was to attend a Hollywood shindig. Just pay the valet the two bucks."
Fry," Gosh! My old neighbourhood. That's the bench where I found some shirts! That fire hydrant! In summer we'd light it on fire! On that corner, some guy with a bushy beard handed out a socialist newsletter!"
Leela, What are we supposed to do now?
Leela," They are now. In the 2600's, New Yorkers elected a super-villain governor, and he stole most of the world's monuments."
Fry," Uh, work really, really hard?"
Fry, A gun?!  D-Do I really need to—?
Bender, I'd like to give Robot 1-X a big smooch on the-- Hey! What's the dealy-o?
Fry," Silence! I have traveled far and seen deep, and I have come to know the purpose of our existence."
Farnsworth," When the time code duplicates a living thing, the copy is always doomed. And that includes flabby Jamaican potbellies."
Bender, Wohoo! Just like med school!
Farnsworth," And you broke mine. Granted, that was four or five hearts ago."
Amy, The Martian muck leech.
Fry, Where's the hole?
Leela," Hey, if your engines work--"
Fry," A movie. A movie, ma'am."
Leela," Alright! Cool your jets, hotshot."
Leela, Is there Mrs. Queequeg?
Farnsworth," I don't care, they all pay the same."
Leela, What are we delivering?
Bender," Shut up, I'm billing you by the hour! Besides, I'm a robot, they'll listen to me. Ladytrons and gentlebots..."
Fry," You idiot, frozen me's still got a wallet full of old timey money."
Fry, I don't know. Wait. What's that about a secret society?
Leela," Professor, maybe I can help you get even with Mom. I spend most of my time thinking about how to get revenge on a bad boss."
Fry, Is it done?
Leela," Alright, this is the third hose fight I've broken up today and the second one using actual hoses. Now move your lazy asses and start scrubbing the ship like I ordered you to."
Fry," A human! Oh, my God! I'm a human!"
Bender," Yes, anything less than immortality is a complete waste of time!"
Fry," Hey, Leela. Mmm. What smells saturated?"
Farnsworth," 4 00 in the evening? Then, good night."
Fry," Hmm, sporty!"
Leela, I'm in.
Zoidberg, Now if the deceased would kindly take his place of honour.
Bender, What?
Fry," Especially ""commune."" Come on, it's the fate of the universe, puff it up a little. Like you could say your ancient order is sensing deep upheaval in the cosmic life energy field."
Leela, Bender!
Farnsworth, No! It's humiliating and degrading to Leela!  Play it ten more times!
Farnsworth," Congratulations, Deathballers! We've won the right to explore the anomaly!"
Fry, He's dead.
Fry," Yeah, it's like we feel the same way about junk and stuff, or, whatever."
Bender, Thanks. Here's your finger back.
Farnsworth," It's not snagged, the mechano man has caught something! Sweet Zombie Jesus! It's huge!"
Fry, Good work.
Fry," And then, while they sat helplessly around the campfire ... a demented knife-wielding escaped lunatic libertarian zombie mutant snuck up and--"
Farnsworth, But what about your super-intelligence?
Amy," We must summon Zagtar, defender of space!"
Bender," Uh, what can I say? Must be my lucky shades! Nothing, nothing, crap, crap, garbage. Read 'em and leak salt water!"
Farnsworth," Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. He wears sandals!"
Fry," Well, abducted is such an ugly word."
Fry, Except in Kansas.
Fry, That's a plus.
Fry,Oh no? I've got one single nail and another nail to nail it in with. And I'm gonna stop this infernal ice cream machine once and for all!
Fry," I'm sorry, but it is."
Bender," Whoa, whoa, whoa! I'm Mexican and I find that offensive."
Fry, Ew!
Zoidberg, Oy!
Leela," I can't believe you're laughing at the tragic exploitation of a proud, bead-loving people."
Farnsworth," Leela, who are you talking to?"
Leela, That's the only ingredient of Slurm.
Fry, Are you my mommy?
Fry," Hey, don't blame me. You tried to force Guenter to be a human but he's an animal. He belongs in the wild. Or in the circus on one of those tiny tricycles. Now that's entertainment!"
Leela," Wow! The burial chamber of the 20th century's greatest spiritual leader, Al Sharpton."
Leela, Kinda cool.
Bender," Wow, I can't believe you guys did all this for me! This is the best Robanukah ever!"
Zoidberg, Robot?
Leela," Fry, are you alright?"
Leela," We're getting nowhere slowly. Here, I'll address this to the Central Filing room. Then we'll track it using my wrist LoJack-a-mater."
Farnsworth," It's stuck in there with glue or something, I don't know."
Fry, Swish!
Bender, What? Lord have mercy!
Fry," Did you find something, Hermes?"
Leela," You stifle, Bender."
Bender," Yep, we're there. Prepare to surface!"
Zoidberg, I can so relate to that.
Farnsworth, The devil take this predictable colon!
Bender, Woo! I'll just cut that.
Leela, What happened to you?
Fry, That's the 20th century spirit!
Fry," So? I'm just as important as him. It's just that, the kind of importance I have ... it doesn't matter if I don't do it."
Fry, Did you hear that? She likes me!
Bender," Hmmm, sounds like a breeding ground for humans. I'd better check it out."
Leela, But the bee stung you. It barely touched me.
Bender," Fry, we've got to discuss your living arrangements."
Bender," Oh, I'm doomed. Everybody leave me alone. I don't wanna be seen this way."
Fry, He's dead! Sorry!
Leela," You wish, you slimy worm! Hi-yah!"
Leela, No!
Bender," With all due respect, Your Majesty, I'm a robot like you. I just switch bodies with some bimbo. Go ahead, ask me something only a robot would know."
Farnsworth, Just one other item.
Leela, Alright!
Bender," Yeah, you do. You know that floor safe where you keep 10 grand? There's 5 grand in there. Don't make me wait!"
Leela, It was only half a ball.
Fry," Here's your package, sir."
Fry, You put the time code on my ass?
Zoidberg, On margin! Zoidy wanna buy on margin!
Leela," Warden Vogel, I have a new story for the children. I'm sure they'll like it more than my last one."
Amy, Look out! You're overheating!
Farnsworth, 80%!
Fry," Yeah, I like it."
Farnsworth, The professy will help! Fire indeed hot!
Farnsworth, Focus!
Leela, They buried your brother in the World Heroes section? I'm impressed.
Farnsworth, This new universe is about ten feet lower than our old one.
Hermes," Here, Dwight. The boots only cost $299.99. You invest this penny like you wanted."
Bender," Thanks, baby. I don't know what you're doing back here in the galley, 'cause you got a first-class C."
Leela," I dunno. I guess I'm just feeling uneasy about us being so on-again, off-again."
Leela, You make it look so easy.
Leela, Okay.
Leela, Nice!
Leela, Oh. That's so handsome of you.
Bender," Well, tell your mom I said hello and it's been nice catchin' up with you. Let's get this show on the road!"
Bender, Woohoo! Alright! Yay!
Bender," Oh, phew! Oh, right, they can swim. It's all coming back to me now."
Bender," Hey, that felt great! Nah, it's not working anymore."
Fry," Stupid slug. I've never been so thirsty. Oh, come on! Go down already! Ah!"
Bender," Hey, look! There's a chapter of my old robot fraternity, Epsilon Rho Rho."
Hermes," Oh, yeah!"
Farnsworth, Off you go. Pleasant trip!
Fry, I can't please Leela no matter what I do. I just want her to like me.
Hermes," End of the line, man! Come on, we can still catch a twi-night double cockfight."
Fry," Well, that's not a..."
Hermes, I am here!
Leela, Oh. Maybe I am freaking out a little.
Bender," ""Compassion""? ""Shrimptoast""? ""Antiquing""? I'm alright!"
Leela, That's so sweet.
Fry, So we set up this little charade based on an episode of Speed Buggy.
Bender, I'll say!
Farnsworth, It'll be the end of civilised society.
Bender," Take that, you scurvy Kraken! That'll teach you to despoil our human booty!"
Bender, But now it's bad for me!
Fry, They sure hate Dr. Zoidberg.
Fry," Oh, baby, I'm there!"
Amy, We were sentence to two weeks in the sewer for harboring a mutant.
Bender," Looks like the fittest did a little surviving last night, huh?"
Farnsworth, Indeed. Now stop shilly-shallying! Prep the ship and line up for your pre-flight coffee enemas!
Leela," Give him a break, Fry. If this helps Bender clean up his act then I think we should be supportive."
Fry, (VO) That's when it hit me yet a third time ...
Farnsworth, Well it's occasionally off by a few seconds. What with free will and all.
Zoidberg," The President is dead. Congratulations, Mr. President!"
Farnsworth, I warned him. I warned him a time paradox duplicate is always doomed.
Zoidberg," And I'm the other guy, courage. Not enough of it. Need some from whatshisname."
Leela," Zapp, last night was a mistake."
Farnsworth, Yes?
Zoidberg, Not a day goes by I don't ask myself the same question.
Leela, At least it keeps them from driving.
Fry," Yeah. If she had let us use the back-up dolly, we could have broken it, given up and gone home by now."
Hermes, Aren't we going to cuddle?
Bender," Well, aside from causing eye cancer, these things had a lousy low-definition picture."
Leela," You tricked me into marrying you, didn't you?"
Leela, Where's Fry?
Farnsworth," Now that I've teamed up with my friend, Dr. (spiteful tone) Wernstrom, (normal tone) I feel certain we can successfully penetrate the other universe."
Amy," We've been arguing all night, Kif. Can't we go to bed?"
Bender, Sign my ass!
Bender," Stupid, air-needing lungs. The crown jewels. Now I just have to locate the guard and seduce him in... Four seconds?"
Fry, Got it.
Hermes," I didn't forget it, I just chose not to .... Barbados Slim! What are you doin' here? IS there somethin' goin' on between you two?"
Farnsworth, Why is your number seven-eighth's?
Bender," No! I mean, yes."
Zoidberg," If only it'd worked, you could go back and not waste your time on it."
Bender," Hey, everyone! Antonio here, but you can call me ""Bender""! I got ants in my butt and I needs to strut. C'mon, baby! Come on!"
Zoidberg, No doubt about it.
Bender," Usually, but not at the moment."
Bender, The year ten thousand!
Leela, We're trapped.
Fry," Wait, I know her."
Fry, W-Wouldn't it make more sense to send the robots in first a--
Fry, He's here for revenging. That's why.
Fry," Please! I'm under constant attack by machinery. I can't sleep, I can't think. I can't even think!"
Amy, Yes.
Leela, Wow. That'll be the nicest place I've ever been stood up.
Farnsworth, These are the dark matter engines I invented. They allow my starship to travel between galaxies in mere hours.
Farnsworth," I've got to stop this reverse-aging before we all shrivel up and suffer the agony of un-birth. Think, you disco duck, think!"
Bender," For one thing, we both have a tough outer shell. But lead a rich, inner life. And also ... well, you know."
Bender," I got it covered. In the event of an emergency, my ass can be used as a floatation device."
Hermes, Fry! Amy! Put your pants back on! I need a stapler.
Amy, What tapes?
Fry," Well, so what if I love a robot? It's not hurting anybody."
Hermes," Okay. The winners, at a net cost of only $12 per life cut tragically short, our Sith Overlords."
Hermes, Baby needs a new pair of shoes!
Zoidberg," Captain, I don't think we're on Pluto any longer. In fact, we may have left space as we know it."
Fry," Why not? You obviously love each other. What are you, cousins?"
Zoidberg," Mmm, delicious! Just like stale marshmallows! Ooh, and a cherry!"
Hermes," No, I want to live. Organising that forced-labour spa rekindled my lifelong love of bureaucracy."
Bender, I guess if you want children beaten ... ... you have to do it yourself.
Zoidberg," Uncle Zoid, you're looking young enough to be thrown back!"
Zoidberg, Yay!
Leela, You can't go to Omega 3; it's forbidden! I forbid you!
Fry," Oh, what the hell! Ow!"
Fry, Fatal.
Farnsworth," Oh, call me an old fool, but I believe the Lord is speaking through you. Brace yourselves, everyone!"
Leela," You're right. I can't let people down anymore. As God as my witness, I vow to earn the respect of girls and women everywhere. I will become the best blernsball player of all time."
Leela, Is it the secret ingredient?
Bender, Make it zero and you got a deal.
Bender," Well, things are starting to look up."
Bender," Hey, I think your son might also like those boots."
Bender," Sure, why not?"
Bender," Yo, Spargle. If you're such a great cook, how'd you end up in this dump?"
Leela," For your information, it's because he's hideous."
Fry," Boy, this A.C. is incredible! I'd better turn on the heater too. Boy, this heater is incredible! I'd better turn up the A.C. some more."
Leela, That's discriminatory!
Leela," Zoidberg, I'm very surprised at you, slightly."
Leela," Oh, for God's sake!"
Fry, Ew!
Leela, Is this some sort of brain scanner?
Fry, Whoa!
Bender," I'm back, baby!"
Amy," Looks like we'll be spending a lot more time together, Fry!"
Bender," Of course, it would all require split-second robotic timing. That's were I come in. You see, I own a watch."
Fry," Bender, why did you do it? We were all so happy."
Leela, Wait a minute. Why aren't you gonna kill us anymore?
Fry, What are you doing?
Zoidberg, Aawww...
Fry," Hey! I can breath and talk, just like a fish!"
Bender, There's a window in the closet.
Amy, Hey!
Hermes, Jah damnit! We're stuck.
Farnsworth," Well, it looks like I'll be needing my heroic bureaucrat back. At severely-reduced pay, of course."
Farnsworth," Bender, thank God I found you in time. I need someone in the lab immediately to fold my new sweaters."
Leela, Fry got his head stuck in a crater.
Hermes," Oh, no! It's within munching distance of the Doritos float."
Amy," Ooh, I'll have him."
Fry," Good afternoon, individuals. Sir, would you mind stepping outta the building?"
Bender, So wait. You play a high-school student who's also secretly a rock star who's also secretly a massage chair?
Leela, Wouldn't it work better if the wheels were round?
Bender," Hey, look what I won from a tourist's pocket!"
Fry, And then what happened?
Bender," Nah, but thanks to this knucklehead, I did find a new outlook on life. It's precious and sacred, and you only get so many millions of years on this Earth. So let's get brick-faced!"
Bender," Ah, can't beat fresh-squeezed!"
Amy, Yes! Right in the ike!
Fry," Of all the parasites I've had over the years, these worms are among the-- Hell! They are the best! Leela, how can I ever repay you for saving them?"
Bender, Ow! Ow! Ow!
Leela, Nowhere special. The moon.
Fry, What?
Fry," Ruh— Really? Um, I don't suppose there's any chance I can get a promotion..."
Farnsworth," And not just fired, but beaten up, too. And pretty badly."
Farnsworth," Quickly, into the sewer hole."
Zoidberg, Such a stone. Is it real? Horray!
Farnsworth," Ah say, appears we've changed 'istory too much, disahster of nightmarish proportions an' wotnot. Quite."
Bender," Look, we have to accept the fact that we all have a serious problem."
Farnsworth," I've had it with your tardiness, Fry. I expect you to arrive the same time as everyone else."
Leela, Whatever.
Amy, I'm inside the dummy to rescue you.
Hermes, What the hell are you talking about?
Bender," Scarab, four arm, bird, bird, bird!"
Fry, Yeah. Give a little credit to our public schools.
Bender," Ok, Fry. Come ta poppa. ... Man I'm bored. Ohhh!"
Bender, I dunno. I'll try to move my feet.
Bender," Three, two, one. Hello, big boy."
Bender, Uh... Yes!
Farnsworth, Oh uh.
Leela, What?
Fry, I feel better now. Why is so many different parades smooshed together?
Bender," How does a nobody like me get famous? I know! Hey, look! I'm stuck! But I haven't given up hope! Call a soft-news journalist!"
Fry, Leela! You're awake!
Bender, Shut up.
Bender, What's this junk?
Bender," Go, man! Go!"
Bender, Is there an app for kissin' my shiny metal ass?
Bender, I'll pet him. I'll pet him with both hands! Ow! My ass! Get off!
Zoidberg, I'm swelling with patriotic mucus!
Fry," Look, Leela. I know there's some perfect, amazing thing I can do to make you love me, and when I figure out what it is--"
Bender," Yeah. By the way, if she calls, I'm not here. All I know is this gold says that was the best mission ever!"
Leela," Uh, me too."
Hermes," Yes, dear."
Leela, Zero.
Bender, Same reason you hocked your teeth.
Leela, Really?
Bender, Hey!
Bender, I bent him.
Leela, I thought circusitis only affected children.
Bender," Cram it, lobster! That is a good idea. I'll go call her."
Fry," From that old church to the north. They had two burning, so I figured they wouldn't miss one."
Bender, Moron!
Fry, And you smell like one too!
Zoidberg, Go!
Bender, Yeah. Emotions are dumb and should be hated.
Farnsworth, There it is! The edge of the universe!
Farnsworth," Oh, my."
Bender," Calculon, as your hot water heater ... ... I would be remiss if I didn't bring you scripts that could make you an international film star."
Zoidberg, Give me that. More weight!
Amy, So the orgy's off?
Bender, Thank you for your patronage. We know you have a choice in airlines and you made the wrong one. No refunds!
Fry, But you're not really a lady anyway. Right?
Leela, Of course I'm alive.
Fry, Kif touched everybody there. Couldn't any one of us be the mother?
Farnsworth," Yes, they have! It's called Australopithecus africanus!"
Zoidberg, That stench. That heavenly stench! More!
Fry, Oh. Kinda like how a warehouse is inhabited by boxes.
Zoidberg, Do you validate parking?
Leela, Maybe I was too harsh on Fry. He didn't ruin my life on purpose.
Fry, But in this case I-I just don't think it'll do any good.
Amy, It's gorgeous. That place used to be a big dump.
Fry, Sort of.
Fry, I refuse to testify on the grounds that my organs will be chopped up into a patty.
Fry," Ooh! Ho, ho, ho!"
Farnsworth, Thank God there are plenty of escape pods. We won't have to dress up like women and children.
Bender, So? It's not like it's the only one we've got.
Fry," So that's my story, Father Changstein el Gamahl. Is there anything religion can do to help me find my friend?"
Fry, No!
Leela," Oh, you're right. Tomorrow is the day we fight back."
Fry," Professor, please. The fate of the world depends on you getting to second base with Mom."
Leela," This place is 3,000 years old. What could possibly be left to discover?"
Bender, That'll teach those other horses to take drugs!
Leela, How can you trick people into drinking something that comes out of your behind? It's disgusting.
Leela, You mean a frown?
Fry," I'll tell them you went out prying the wedding ring off his cold, dead finger."
Fry, Executive?!
Fry," That's the saltiest thing I've ever tasted. And I've once ate a big, heaping bowl of salt!"
Bender," Uh, no, actually I'm an Epsilon from way back."
Bender," There's no time now. Quick, Zoidberg! Take three steps to your right!"
Zoidberg, I can't believe everybody's just ad-libbing!
Leela," It wasn't unavoidable! You just had to stop cutting my spine when I yelled, ""Stop! You're cutting my spine!"""
Farnsworth, I never married.
Bender, ¡Sí! Ouch-o!
Bender," A little of this, huh?"
Zoidberg, Edna?
Leela," I'm fine, thank you. A real pilot can navigate by feel alone."
Leela," Oh. Thank you. You know what, Fry? I don't care if you're not the most important person in the universe. It really makes me happy to see you right now."
Fry, Kill-check two is go!
Hermes, Sounds like a muskrat's caught in there.
Leela," OK. As an alien who was abandoned on Earth, I've never really belonged anywhere."
Bender," What you talkin' 'bout, Professor?!"
Leela, There. No rampaging for you tonight.
Amy," Hey, look at Nibbler!"
Fry, Just like very other girl I've dated.
Hermes, Kiss my front butt.
Bender," No, it's Fry who's crazy in this one."
Fry, Whatever.
Amy, We have to cut the rope!
Leela," Professor, no!"
Leela," Hmm. If we can re-route engine power through the primary weapons and reconfigure them to Melllvar's frequency, that should overload his electro-quantum structure."
Amy, Aw!
Fry, What just happened? Why is the ball on that springy thing?
Farnsworth," Oh, Lord! Hiking is always such a strain on the buttocks."
Bender," Um, that was a practice miracle. Who's next?"
Leela," OK, look. If I help you with this do you promise to get out of my gender and stay out?"
Bender, It's already 10 o'clock!
Farnsworth," Don't you think I already tried that? No. I'm afraid, the crystal is lost forever."
Bender," Help, help. (Echoing ) Help!"
Bender, You're twice the the he ever was.
Fry," Yeah, that'd be a timesaver."
Amy," Hey, this isn't so bad."
Amy, Uh-uh.
Bender," Hey, here's an idea, let's deliver all the pillows at once."
Bender," My birthplace. It's closed! There's not even a shrine to me. With a gift shop, selling piñatas of me!"
Farnsworth, Indeed. It's pure diamondium!
Zoidberg," Strange  Why would Nixon, an awkward, uncomfortable man, suddenly throw a party, one of the most social events imaginable? It's a trap, is why! They're going to deactivate all the robots! I don't hear any gasping."
Farnsworth," Uh, yes, here I am, OK, now, hello there. Now, we all know telescopes allow us to see distant objects. But what if we want to smell distant objects? Well now we can! Thanks to my new invention ... the Smellescope."
Fry, What am I gonna do?
Farnsworth," Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you."
Hermes," Comet ahoy! Why, it's lit up like a smooth, refreshing Chesterfield."
Leela, Clobberella!
Fry," What? I'm old. Listen  Hey, you kids, get off the lawn!"
Leela," Fry, this isn't healthy. You're living in the past."
Zoidberg, Let's just hope Calculon breaks our legs; they'll grow back.
Bender," Oh, sweet mercy.  My hellish nightmare is over. I never have to party again."
Leela, Then go get the hover-dolly you didn't break and load all the dark matter into the left engine.
Fry, And this is Dr. Zoidberg.
Farnsworth," Aha! That satellite was scuttled on Enceladus, Saturn's main dump moon!"
Fry, 'Cause he was a loner who hated the popular monsters yet longed to be one.
Leela," We are not packing lunches, you walking beer commercials. It was you men who drove this company into the ground. Remember Fry's idea to offer free delivery?"
Fry, Let's just get inside the shack.
Fry, Man in the attic!
Leela, I never loved you.
Hermes," Listen up, people."
Leela, Ugh! Great. We're two days from Earth with no food.
Hermes," Tomorrow morning. After the ""festivities""."
Fry, Ooh!
Fry, Uh...
Farnsworth, Everyone to The Situation Room!
Fry, Shut up and take my money!!
Fry, For Slurms!
Fry, Too bad you can't spend it.
Hermes, Uh-oh. I think we're walking in circles. I recognise the pattern of striations on that gypsum formation.
Fry, Now let us each remember the best things about Bender in our own way. Professor?
Bender, Zero! And what a surprise! Look who's scraping up the filth! Is it a human child? I wish!
Farnsworth," Yes, yes."
Farnsworth," A mass extinction. That solar flare created a huge electromagnetic pulse that while harmless to organic life, short-circuited the robo-dinosaurs."
Bender,"  Well, let's at least throw this TV out. The batteries in the remote are gettin' low."
